"Unit of
measure-
ment",Boundary,"Page
number"
Number,"South African
operations only",54
Number,"South African
operations only",130 – 132
Number,Implats Group,135
rand,"South African
operations only",91
rand,"South African
operations only",91
rand,"South African
operations only",79
