1,0,3,12,3,1,0,4,24
10,13,6,24,6,10,6,12,87
163,75,43,117,220,83,78,170,949
770,207,56,58,1 115,493,125,311,3 135
3 585,547,42,35,5 561,1 491,88,80,11 429
8,1,0,0,13,0,0,0,22
4 537,843,150,246,6 918,2 078,297,577,15 646
