2023,2022,2021,2020,2019
28 560,28 712,29 307,27 579,27 205
13 867,12 568,13 967,11 401,11 099
968,1 000,964,921,920
1 544,1 492,1 110,1 050,1 061
3 739,3 619,3 398,3 222,3 308
1 197,1 051,1 262,1160,780
3 966,3 755,3 549,3 332,3 326
5 225,5 225,3 305,2 798,3 791
924,833,755,713,622
232,160,–,–,–
99,108,87,64,62
23,34,14,42,35
38 256,38 027,38 060,35 829,35 472
22 088,20 530,19 658,16 451,16 766
60 344,58 557,57 718,51 567,51 616
63,65,66,68,66
