None,None,2021,None,None,None
CARBON EMISSIONS,,,,,
,,505 575,,,
,,51 539,,,
,,557 114,,,
,,0.330,,,
,,0.313,,,
WATER MANAGEMENT,,,,,
,,6 668 223,,,
,,234 301,,,
,,7 136 027,,,
,,14 038 551,,,
,,139 112,,,
,,5 728 294,,,
,,5 867 406,,,
,,1 502 922,,,
,,585 179,,,
,,579 582 876,,,
,,328 518 993,,,
,,7 742 598,,,
,,545 032 078,,,
,,66 993 353,,,
,,833 365 918,,,
,,586 251 099,,,
,,328 753 294,,,
,,7 881 710,,,
,,72 721 647,,,
,,834 868 840,,,
,,494,,,
,,469,,,
WASTE,,,,,
,,184,,,
,,0.1090,,,
,,6 717,,,
,,3.975,,,
,,2 268,,,
,,27,,,
,,166,,,
,,8 780,,,
,,45,,,
,,393,,,
,,865,,,
,,1 001,,,
,,164,,,
,,8 657,,,
,,233 672,,,
,,38 450,,,
,,2 564,,,
,,297 050,,,
,,97.7,,,
,,100.0,,,
