,"Clean and
affordable
energy","We promote clean and affordable energy solutions in our operations through:
• Procuring and investing in solar PV and other renewable energy systems to
generate, thereby reducing the reliance on fossil fuel-based energy sources and
lowering greenhouse gas (GHG) emissions
• Partnering with local organisations to implement sustainable energy projects.","Further reading
on pages 103
to 105 and
Climate Change
Report."
,"Decent work
and
economic
growth","We promote sustainable economic growth by:
• Creating employment opportunities
• Paying taxes and royalties to the state
• Promoting enterprise and supplier development (ESD)
• Promoting skills development
• Investing in our supply chain
• Achieving full and productive employment and decent work for all women and men.","Further reading
on pages 48
to 97."
,"Industry,
innovation
and
infrastructure","We enhance industry, innovation and infrastructure by:
• Continuously investing in research and development to improve mining techniques,
increase efficiencies and reduce the environmental impact of operations
• Utilising different mining methods efficiently and effectively to extract PGMs from
the earth
• Partnering with industry peers, government and academic institutions to develop
cleaner, safer and more efficient technologies
• Implementing sustainable practices to minimise our environmental footprint, such as
water and energy conservation, reclamation of mined areas, and responsible waste
management.","Further reading
on pages 100
to 123."
,"Sustainable
cities","We promote the goal of sustainable cities through our:
• Environmental protection initiatives that help reduce our environmental impacts,
such as adopting renewable energy sources, recycling programme adoption,
energy and water consumption and using recycled materials in their processes
• Active community engagement that promotes social and economic wellbeing, which
includes providing employment opportunities and supporting local businesses
• Providing integrated housing solutions for our employees and communities which
incorporate energy saving and environmentally friendly solutions.","Further reading
on pages 60
to 61."
,"Responsible
consumption
and
production","We promote sustainable consumption and production through the following:
• Sustainable management and efficient use of natural resources
• Reducing our environmental footprint with responsible and sustainable consumption
• Investing in technology and innovation
• Protecting biodiversity
• Adopting circular economy thinking
• Reducing waste generation through prevention, reduction, recycling and reuse.","Further reading
on pages 103
to 123."
,"Climate
action","We take specific measures to reduce our impact on the environment and combat
climate change; this includes:
• Implementing sustainable mining practices
• Reducing GHG emissions
• Adopting renewable energy sources
• Minimising water and waste pollution
• Knowledge sharing on climate risks and mitigations with stakeholders
• Investing in the restoration and conservation of ecosystems.","Further reading
on pages 103
to 105 and
Climate Change
Report."
,"Peace,
justice and
strong
institutions","We promote peace, justice and strong institutions by:
• Engaging with local stakeholders and communities to understand their needs and
concerns, and working towards resolving any conflicts or tensions that may arise
• Upholding and sharing our code of ethics with stakeholders
• Increasing transparency of our business practices
• Respecting human rights by upholding the rights of our employees, local
communities and other stakeholders
• Supporting and collaborating with local governments, civil society organisations
and other stakeholders.","Further reading
on pages 32
to 45."
,"Partnerships
for the goals","We promote partnerships for the goals by:
• Partnering with local organisations to enhance governance, transparency and
accountability in the mining sector
• Investing in capacity-building initiatives to strengthen local institutions and promote
responsible mining practices.","Further reading
on pages 40
to 45."
