Unit of measurement,Boundary
Kilotons,Group
Kilotons,Group
Kilotons,Group
Kilotons,Group
Kilotons,Group
Kilotons,Group
Rate,Group
Thousand gigajoules,Group
Kilotons,"Group, excluding oxygen
from air at Secunda
Operations"
Kilotons,Group
Kilotons,Group
Kilotons,Group
