0
2022
""
""
1.0 – 1.1
1.0 – 1.1
1.0 – 1.0
""
1.0 – 1.1
1.0 – 1.0
1.0 – 1.0
""
""
1.0 – 1.2
1.0 – 1.2
1.0 – 1.1
""
1.0 – 1.1
1.0 – 1.0
1.0 – 1.0
""
""
""
""
27 873
8.0
40.8
94.8
16
1.40
0.90
