None,None,2021,None,None,None
COVID-19,,,,,
,,18 857,,,
,,1 016,,,
,,21 378,,,
,,7 000,,,
,,14 378,,,
,,11 002,,,
,,5,,,
,,54,,,
,,979,,,
,,17,,,
,,20,,,
,,96.4,,,
,,2.0,,,
,,84 210 673,,,
HEALTH AND SAFETY,,,,,
,,–,,,
,,11,,,
,,–,,,
,,1 237,,,
,,23,,,
,,2,,,
,,40,,,
,,7,,,
,,1,,,
,,12,,,
,,114,,,
,,365,,,
,,36,,,
,,945,,,
,,403,,,
,,0,,,
,,29,,,
,,359,,,
,,0.005,,,
,,0.093,,,
,,1.037,,,
,,1.331,,,
,,0.100,,,
,,0.500,,,
,,2 996,,,
,,28.0,,,
,,186,,,
,,42.00,,,
,,3 755,,,
,,25.0,,,
,,2 707,,,
,,867 883,,,
