Customers,None,None,None,
Quality of relationship,,,,
SDGs impacted,Stakeholder breakdown,Relationship manager,Applicable material matters,
,"• Various manufacturers:
catalyst, motor, green energy
(fuel cells), medical devices
and jewellery manufacturers",• Group executive: refining and marketing,"• Business development (optimisation of asset portfolio and
market development)
• Currency and commodity factors
• Responsible sourcing
• Security of supply
• Production per the business plan
• Economic volatility
• Transparency and stakeholder engagement",
Method of engagement/content,,,Further reading,
