"mpala
ustenburg","We monitor and measure performance against a formal biodiversity management plan informed by the Mining and
Biodiversity Guideline developed by the South African National Biodiversity Institute (SANBI). Our annual biodiversity
monitoring programmes are undertaken by external biodiversity specialists (scientists registered with the South
African Council for Natural Scientific Professionals). The programmes are not only designed to monitor and provide
reactive commentary, but also to provide recommendations for remediating poor-performing areas."
"mpala
efineries","The operations are near the Blesbokspruit, a designated Ramsar Convention Wetland of International Importance.
Although our operation does not have any direct impact on the wetlands, it continues to partner in environmental
education and conservation initiatives in the area."
arula,"Marula has appointed and trained two local companies to conduct on-site AIS identification and eradication
projects. The operation runs annual AIS assessment and refresher training on species identification, while aquatic
biomonitoring is conducted biannually."
implats,"The Zimplats mine lease area includes a 276ha section of land within the Ngezi Recreational Park’s boundary. Our
rehabilitation and mine closure activities comply with the conditions outlined by the Ministry of Environment in the
lease agreement regarding the protection and restoration of biodiversity in the lease area.
The operation’s main control measure against deforestation is the land and vegetation clearance permitting system
administered by the Company’s own rehabilitation procedure. Vegetation loss is compensated for through offset
initiatives where trees must be replaced on a 1:1 basis as a minimum. Measures and practices in place to mitigate
deforestation include collecting seeds of important plant species ahead of planned projects, revegetation initiatives,
conducting awareness training sessions for employees and contractors and participating in and supporting
national tree-planting programmes.
Site clearing activities at the Zimplats 35MW renewable energy plant progressed in 2023. Due care is carried out to
ensure that the wildlife impacted is relocated to a suitable habitat. A total of 79 snakes were relocated to the
wilderness in support of the operation’s biodiversity plan."
"mpala
anada","A species at risk (SAR) survey was carried out at Lac des Iles Mine. Two SAR were observed within the Lac des
Iles Mine site: Bank Swallow (threatened) and Little Brown Myotis (endangered). Bank Swallow nesting habitat
present on the mine site is well-defined. Potential Little Brown Myotis roosting habitat (in the form of forest
fragments and buildings) is abundant on-site, however, suitable hibernacula appear to be absent. Impala Canada
has implemented mitigation measures to reduce or avoid impacts on the SAR and will engage with authorities to
evaluate the need for additional studies, monitoring, or mitigation measures."
