2023,,2022,2021,2020,2019
,,,,,
10 468,,8 320,12 247,8 161,10 152
33,,0,0,6,4
3 282,,2 478,7 880,4619,688
1 228,,2 835,739,971,1 249
–,,–,–,–,–
15 011,,13 633,20 866,13 757,12 093
,,,,,
5 555,,5 628,5759,5 556,5 320
0,,0,0,0,0
325,,312,325,317,251
153,,169,162,163,159
–,,–,–,–,–
6 033,,6 109,6246,6 036,5 730
,,,,,
76,,71,83,77,93
3,,3,0,0,1
7,,5,7,14,12
1,,2,0,1,5
–,,–,–,–,–
87,,81,90,92,111
,,,,,
163,,64,39,56,54
0,,0,0,0,2
6,,12,4,6,6
0,,1,0,0,2
2,,0,0,0,–
171,,77,62,62,64
