2023,2022,2021,2020,2019
,,,,
3 382,4 769,3 593,1005,989
19 425,16 675,19 659,10 299,12 642
–,–,–,–,–
896,1137,0,0,0
9 150,8 997,6 398,5 202,4 035
–,–,–,–,–
,,,,
–,–,–,–,–
31 487,33 526,34 804,31 488,28 964
1,8,23,200,112
5 325,4 970,4 637,4 385,5 799
16 106,19 459,13 805,9 445,8 312
–,–,–,–,8.5
,,,,
25 741,24 656,24 859,18 977,19 296
1 602,1 425,592,406,613
