TERMINATIONS,None,None,RECRUITMENTS,None,None
Female,Male,Total,Female,Male,Total
75,442,517,82,249,331
69,172,241,7,46,53
51,316,367,5,1,6
2,5,7,2,2,4
197,935,1 132,96,298,394
