South Africa,"Inter-union rivalry among contractors remains a challenge at Impala Rustenburg. To mitigate its risks we have a
multi-pronged strategy for engagement, including with the government and legal entities, which has delivered
effective results.
Our duty of care and responsibility extends to the relationships between our contractors and their labour unions."
Zimbabwe,"Zimplats continues to experience harmonious employee relations and constructive industrial relations. Regular
departmental, works council, and quarterly management and work leadership meetings provide the foundation
for ongoing engagement and communication."
Canada,"The operation continues to conduct weekly meetings with the United Steelworkers Union, the largest private sector
union in Canada, to maintain positive and constructive relations. The relationship with the union’s new leadership
began on a positive note, and the operation looks forward to continued collaboration with the union."
