2023,2022,2021,2020,2019
,,,,
8,7.5,6.7,7.3,9.6
6.6,5.7,8.6,7.8,4.6
7.1,8.2,6.4,6.9,7.2
3.9,3.6,3.7,3.3,3.7
18.5,20.3,25,18.5,
4,4.3,8,8.7,13.6
7.7,7.5,6.5,6.9,8.7
,,,,
0.4,0.3,0.4,0.4,0.6
1.3,0.9,3.3,3.1,0.9
0.6,0.6,1.3,1.5,1.4
1.1,"6,5",9.2,0,
0.3,0.2,0.4,0.2,0.1
1,1.1,4.6,4.3,9.1
0.4,0.4,0.5,0.5,0.6
