2023,2022,2021,2020,2019
,,,,
86 808 704,86 254 709,82 982 629,71 599 507,77 287 967
4 973 088,4 316 035,3 711 246,3 835 551,4 307 601
11 125 470,10 906 087,10 214 981,8 346 790,8 351 825
19 986 139,19 681 914,15 171 252,15 347 752,15 574 775
268 380,448 278,296 031,264 487,263 444
2 568 324,2 409 158,2 241 989,1 046 723,–
125 730 105,124 016 180,114 618 128,100 440 810,105 785 612
,,,,
0.035,0.07,0.012,0.056,0.052
0,0,0,0,0
0,0,0.098,0,0
0.1,0.051,0.066,0,0.064
0,0,0,0.955,–
0.04,0.056,0.176,0.050,0.047
,,,,
4.96,5.44,5.89,5.32,5.71
0.2,0.23,0.54,0.26,0.23
4.49,3.85,6.07,6.71,13.41
0.35,0.31,0.20,0.59,0.45
1.56,1.66,3.12,7.64,–
3.92,4.21,4.92,4.54,5.3
,,,,
10.97,11.65,11.48,12.61,13.92
16.89,22.24,11.05,20.86,16.95
8.72,7.61,11.16,15.34,21.67
0.55,0.56,0.46,0.65,0.90
7.95,2.24,10.76,11.43,–
6.62,6.23,5.35,12.42,–
9.25,9.76,9.84,11.3,12.70
,,,,
6.00,6.21,5.59,7.29,8.22
16.69,22.01,10.51,20.60,16.71
4.22,3.76,5.09,8.63,8.26
0.2,0.25,0.26,0.07,0.45
5.06,4.57,2.23,4.78,–
5.32,5.56,4.92,6.76,7.4
,,,,
952,1 005,953,903,1 076
84,96,41,80,73
97,83,114,128,181
11,11,7,10,14
17,15,12,13,–
1 161,1 211,1 127,1 134,1 344
