Male,None,None,None,Female,None,None,None,"Foreign
nationals3",None,Total,None,
A,C,I,W,A,C,I,W,Male,Female,Male,Female,Total
0,0,0,0,0,0,0,0,0,0,0,0,–
0,0,0,2,0,0,0,0,0,0,2,0,2
0,0,1,1,0,0,0,0,0,0,2,0,2
37,0,0,18,5,0,0,0,8,0,63,5,68
199,0,0,4,5,0,0,0,100,0,303,5,308
346,0,0,0,27,0,0,0,76,0,422,27,449
582,0,1,25,37,0,0,0,184,0,792,37,829
0,0,0,0,0,0,0,0,0,0,0,0,0
582,0,1,25,37,0,0,0,184,0,792,37,829
