None,None,2021,None,None,None
GOVERNANCE,,,,,
,,10,,,
,,7,,,
,,70,,,
,,3,,,
,,,,,
,,7,,,
,,70.0,,,
,,4,,,
,,40.0,,,
,,2,,,
,,20.0,,,
,,2.0,,,
,,1.5,,,
,,1.5,,,
,,54.0,,,
,,99.00,,,
,,3.92,,,
,,83,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
,,Yes,,,
INTELLECTUAL CAPITAL,,,,,
,,2,,,
,,704,,,
,,44,,,
LAND: COMPANY MANAGED LAND (OWNED AND LEASED),,,,,
,,1 500,,,
,,10 762,,,
,,42 121,,,
,,52 883,,,
,,2 847,,,
,,4 475,,,
,,60 204,,,
LAND: SMALL-SCALE GROWER MANAGED,,,,,
,,20 020,,,
,,28 840,,,
,,48 860,,,
LAND: COMMERCIAL FARMER MANAGED,,,,,
,,66 403,,,
,,6 897,,,
,,73 300,,,
