KEY HEALTH RISK FACTORS,None,None,None,None,None
,,NON-COMMUNICABLE,,,
LANOITAPUCCO,"• NIHL
• Silicosis",,"• Diabetes
• Hypertension
• Cardio-
vascular
diseases",,NON-OCCUPATIONAL
,"• Tuberculosis
(TB)*",,"• Cholera
• Malaria
• HIV/Aids*
• Covid-19",,
,,COMMUNICABLE,,,
