None,None,2021,None,None,None
FUEL CONSUMPTION – RENEWABLES,,,,,
,,15 975,,,
,,3 230 783,,,
,,3 161 176,,,
FUEL CONSUMPTION – NON-RENEWABLES,,,,,
,,11 353 782,,,
,,87 935,,,
,,4 977 396,,,
,,40 609,,,
,,248 911,,,
,,826 337,,,
,,10 008,,,
,,35 364,,,
,,1 075,,,
,,41 062,,,
,,24 234,,,
,,100,,,
,,211 292,,,
,,7 077 349,,,
ELECTRICITY,,,,,
,,311 877,,,
,,46 767,,,
,,265 110,,,
,,450 722,,,
,,162 946,,,
,,715 832,,,
,,63.0%,,,
,,980 942,,,
,,0.000,,,
,,0.000,,,
ENERGY,,,,,
,,21 521 523,,,
,,6 686 760,,,
,,28 208 283,,,
,,954 396,,,
,,29 162 679,,,
,,73.80%,,,
,,17.90,,,
,,15.92,,,
