,,,Of which:,None
,,Total,Disabled,Disabled
Male,Female,Rm,male,female
1.6,1.8,3.4,–,–
9.7,14.6,24.3,0.10,0.10
2.6,7.5,10.1,–,0.10
0.1,0.3,0.4,–,–
14.0,24.2,38.2,0.10,0.20
