2023,2022,2021,2020,2019
,,,,
23 533,22 363,23 210,19 576,19 469
1 408,1 493,1 516,1349,1 526
2 706,3 147,3 270,2 813,–
,,,,
,,,,
2 585,2 579,2 661,2 422,2 570
147,150,150,146,150
224,226,220,174,198
326,308,311,122,–
461,527,521,475,495
3 743,3 790,3 863,3 339,3 413
,,,,
4 582,4 576,4 223,3 617,3 574
80,83,78,70,65
3 193,2 154,2 425,2 251,2 246
13 849,13 990,13 558,3 442,–
20 683,19 449,16 339,15 663,14 628
42 387,40 252,36 623,25 043,20 513
,,,,
207,239,213,209,210
–,–,–,–,–
11,8,9,10,9
422,535,410,165,–
314,208,178,215,127
954,990,810,599,346
,,,,
68 103,74 939,72 377,62 194,67 177
79 809,86 486,79 335,76 697,77 021
–,–,–,–,–
–,–,–,–,–
4 591,5 340,6 990,5 218,6 028
152 503,166 765,158 702,144 109,150 226
12 516,13 548,10 977,–,–
1 551,1 671,1 738,1 840,1 700
,,,,
11 211,11 361,11 581,10 455,11 099
2 502,2 677,2 506,2 424,2 444
929,896,883,714,797
2 971,2 010,2 714,2 469,2 523
2 027,2 805,1 929,716,–
19 640,19 749,19 614,16 777,16 863
,,,,
,,,,
14 690,13 500,13 331,13 126,13 198
766,832,862,722,781
1 626,1 561,1 967,1 788,1 949
7 444,6 950,6 717,7 473,7 218
2 324,2 068,1 926,920,–
26 850,24 911,24 802,24 029,23 146
