STATUS,,COMMENTS
,,"SO’s average water intensity for FY23 is 10.61 which is a 1.67 cubic meter per ton (m/t) improvement against the average water intensity that
3
was achieved in the corresponding time, last year. SO’s good (better than target) water intensity performance is predominately on account of
lower-than-average water intake for the corresponding production numbers. An average water saving of 23ML/d were observed for FY23 when
compared to FY22 average total abstraction. The first half of the year’s water abstraction were penalised by increased steam to oxygen ratios at
gasification on account of poor coal quality resulting in higher demand for HP steam and low production numbers. The second half of the year’s
water intensity were supported by improved production, low Rand Water intake and good raw water quality from Grootdraai Dam."
,,"SO technical is busy with a potable water usage validation in an effort to identify potential unmetered losses. Data consolidation and analysis
have been completed for all sites that are metered. Opportunities to reduce losses have been identified and attended to. Future opportunities
being considered is to install smart meters to enable live monitoring, leak detection and high use analysis."
,,"Findings and areas identified for improvement from the 2022 Department of Water and Sanitation (DWS) Greendrop audit report are being
actioned to achieve SO Greendrop certification targeting the 2024 Green Drop audit planned by DWS."
,,"Through a multi-stakeholder approach, a study to better understand the deterioration in feed water quality from Grootdraai Dam has been
commissioned. This study is being implemented in collaboration with the DWS, Rand Water, Eskom and the Water Research Commission (WRC).
SO has committed R1,5 million over a period of three years and WRC committed R500 000. Rhodes University has been appointed as the service
provider to execute this study and have recently completed Phase 2 of this study by securing data agreements from stakeholders, developing a
water quality model for the catchment and considering land use activities and climate change trends in scenario development. The next phase
will involve capacity building to use the model and producing key action plans to improve water quality in the catchment."
,,"In an effort to provide safe, clean and drinkable water that support better health, Social Investment had the following initiatives and
programmes implemented:
• Supplied 40 water tanks to rural schools in Mpumalanga and Mozambique;
• Invested R25 million in the Leandra Sewer project;
• Invested R52 million in the Charles Cilliers Water Supply pipeline;
• Invested R58 million in the Greylinstad Waste Water Treatment Works (WWTW) and reticulation network; and
• Invested R4,1 million in rural water provision."
,,"The FY23 consumption was 52.2Ml/d which was above the 2025 target of 50Ml/d. The consumption was higher when compared to FY22 which
was 50.4Ml/d. The reason for the higher usage was due to the final effluent recycle to fire water which was stopped in December 2022 due to
equipment reliability issues. The focus areas to achieve the FY25 target are to maximise the dedicated domestic sewer re-use and use of final
effluent to fire water. A project to reuse additional treated domestic and industrial wastewater as cooling water is also being scoped, which
could be implemented to sustainably meet the 2025 target."
,,"An average monthly use of 199ML was reported during FY23. This is above the 2025 target of 150ML per month. This is higher than the average
monthly usage of 168ML during FY22. The increase was attributed to the Zuikerbosch partial line replacement project and flooding and
maintenance of the Vaal Pump Station which necessitated supplementing raw water for production with potable water."
,,"A portion of the Zuikerbosch raw water supply line was replaced. This reduced water losses substantially. A project was also launched to replace
sections of the Midland firewater systems to reduce leaks."
,,"A WWTW process audit, conducted by the Water Group and IX Engineers was completed. The report contains recommendations and findings
which will be addressed. This supports the drive to maintain the Green Drop certification. Current systems are maintained."
,,"SEO signed a Memorandum of Understanding with Rand Water to investigate the feasibility for an offtake of treated effluent from the Sedibeng
works as an alternative source to river water. A revised price offer from Rand Water has made the business case favourable. SEO has agreed to
providing Rand Water with a Letter of Intent to develop the project for bankability."
,,"SEO continued to support the Metsimaholo Local Municipality through the funding of a greater Sasolburg/Zamdela sanitation system review to
determine opportunities to reduce loss of containment of raw sewage as well as reduce stormwater ingress which hydraulically overloads the
SEO WWTW during high rainfall."
,,"Mining’s potable water use for FY23 was 1 616ML, thus meeting the target set."
