South Africa,None
"125 hours average hours
training per employee","149 average hours
training per contractor"
Zimplats,Impala Canada
"US$2.1 million
on skills development
(2022: US$1.87 million)","C$1.4 million
on skills development
(2022: C$2.0 million)"
