South Africa,"Since the implementation of our accommodation strategy in 2008, South African
operations have constructed 3 923 houses and sold 4 200 houses to employees,
including existing company houses.
We provide a living-out allowance benefit to enable employees who do not participate in the homeownership
scheme to source decent accommodation.
The majority of our employees are first-time homeowners, and we aspire to help them create wealth through
property ownership.
Impala Rustenburg
The value of the homes since the inception of the housing strategy in Rustenburg has increased since 2008. These
homes were bought at an average price of R265 000 in 2008 and are now valued at R650 000 – this represents a
146% increase in value over the past 15 years.
We have 4 000 single-accommodation residence units and 308 family residence units available for rental at Impala
Rustenburg. The occupancy rate at these residences is 80%.
Impala Rustenburg continues to progress its flagship Platinum Village housing scheme with 215 houses built this
year (2022: 218 houses built).
Through the Platinum Village development, we continue to support local jobs, with all construction activities carried
out by local mine-host communities contractors, many of whom have received training from Implats in portable
skills such as bricklaying, plastering and tiling.
Marula
Our Marula operation provides various housing options to employees including rental accommodation and home
ownership. Onsite, the operation has 101 single-accommodation units and plans are in place to build an additional
20 single units at the camp facility. In 2023, Marula carried out various renovations to its onsite accommodation
units, including the installation of solar geysers, which has led to an increase in occupancy from 42% to 83%.
Most people employed at Marula live on tribal land adjacent to the operation, and are largely community bound,
preferring to live close to the mine site. To date, the operation has sold 17 of its 34 free standing housing units
to employees and in 2023 installed additional boreholes to improve water security at its housing development.
Marula’s housing forum also works to improve living conditions for its employees, through electrification projects
and drilling boreholes in local communities."
Zimbabwe,"The Zimplats employee housing strategy is three-pronged, comprising company
housing, a home ownership scheme and the provision of stands to employees for
home construction.
Zimplats has developed 2 090 houses since 2008 (including associated infrastructure).
The proposed construction of 1 052 employee housing units in Turf Town, Mhondoro-Ngezi, is currently under review
due to financial constraints. As at year-end, a total of 420 housing units have been handed over for occupation.
Construction of the remaining 1 052 houses will commence once additional funding has been secured.
Zimplats continues to make progress with its employee home ownership scheme at SMC. The company is
assisting beneficiaries of the scheme to secure mortgage finance from local banks."
Canada,"Impala Canada employs 924 people, mostly on a two-week rotational basis.
Under normal operating conditions, the site averages 500 employees and contractors on-site where they live in
company-provided accommodation. In 2023, the operation upgraded its on-site housing facilities including
recreational areas, accommodation units, and wifi and introduced healthier meal options (see page 56). The
operation does not supply housing for employees outside of the mine site."
