,Loyalty Programme & Customer satisfaction,"11.0 9.5 8.5 –
16.0% 11.8% – –
80% 80% 75% 65%
6.0 5.5 3.5 –",,,
,Energy,"1 033 300 316 747 – –
9 563 3 225 – –
758 907 791 886 773 025 853 185
7 579 7 791 7 773 7 726
767 486 799 677 780 798 860 911
1.0% 1.0% 1.0% 0.9%
7.10 7.69 7.75 8.6
2 762 950.00 2 878 837.20 2 810 872.80 3 099 280.68
3 796 250 3 167 537 – –
35 130 32 248 – –
Yes Yes No No
Yes Yes Partial No
Yes Yes Partial No","302-1
302-1
302-1
302-4",FB-FR-130a.1,
,Carbon Footprint,"381 435 183 614 123 421 124 858
761 910 816 944 766 174 703 438
452 280 475 222 482 615 507 967
1 595 625 1 475 780 1 372 210 1 495 197
14.8 15.0 13.6 13.3
Yes Yes – –
2022 2013 – –
Yes Yes – –
0.0 – – –
0.0 – –
0.0 – – –
3.6 – – –
7.1 – – –
4.2 – – –
No – – –
n/a – – –","305-1
305-2
305-3
305-5
305-5
305-5
305-5
305-5
305-4
305-4
305-4",FB-FR-110b.1,"E1.1a
E1.1a
E1.1a
E1.3
E1.1c
E1.1c
E1.1c
E1.4a
E1.4a"
,"Water
Pick n Pay company-owned operations, not including Boxer","1 108 223 1 019 918 1 006 000 1 117 000
10.26 10.38 9.99 11.15
Yes Yes – –
2018 2018 – –
Yes Yes Yes No",303-5a,,E2.1a
