African,Coloured,Indian,White,Not disclosed,Total
61.07,62.19,65.33,56.22,18.24,48.47
65.45,62.70,64.23,62.86,19.75,52.85
55.77,64.40,56.16,48.47,17.03,41.26
–,–,–,–,16.78,16.78
