2023,,2022,2021,2020,2019
,,,,,
3,,6,1,4,3
0,,0,0,0,0
0,,0,1,0,–
2,,1,1,0,1
0,,0,0,1,–
5,,7,3,5,4
,,,,,
0,,0,0,0,1
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
0,,0,0,0,0
5,,7,3,5,5
,,,,,
337,,349,363,317,333
1,,1,0,1,1
43,,32,44,44,78
13,,6,3,8,7
0,,0,0,0,0
0,,0,1,2,–
394,,388,411,372,419
,,,,,
521,,536,464,522,635
83,,95,39,79,72
47,,41,52,72,69
4,,5,4,1,7
0,,0,0,0,0
13,,11,5,5,–
668,,688,564,679,783
,,,,,
431,,469,489,381,441
1,,1,2,1,1
50,,42,62,56,112
7,,6,3,9,7
0,,0,0,0,0
4,,4,7,8,–
493,,522,563,455,561
