Recommended disclosures,References
"Disclose the metrics used by the organisation to assess
climate-related risks and opportunities in line with its
strategy and risk management process.",
"Disclose Scope 1, Scope 2, and, if appropriate, Scope 3
greenhouse gas (GHG) emissions, and the related risks.",
"Describe the targets used by the organisation to manage
climate-related risks and opportunities and performance
against targets.",
