2023,2022,2021,2020,2019
,,,,
5 729,5 574,5 603,5 704,5 779
908,108,398,542,724
–,–,–,–,–
24 420,29 165,26 601,20 532,23 132
31 057,34 847,32 602,26 778,29 635
,,,,
21 614,21 563,23 683,21 557,22 869
1 226,1 333,1 339,1 297,1 331
1 874,2 011,1 909,1 481,1 758
3 854,4 606,4 640,4 226,4 406
28 568,29 513,31 571,28 562,30 364
