EXTERNAL ASSURANCE,None
Annual Financial Statements,Deloitte & Touche
Review of internal controls and risk review,Internal Audit (co-sourced with KPMG)
B-BBEE contributor Level,1st Verification Networx
ESG and climate change reporting,BDO
Carbon emissions disclosure,Catalyst Solutions
Operational certification,"Includes ISO 14001, ISO 45001, FSSC 22000 and
ISO 22000, ISO 9001: 2008."
