–,–,–,–,–,–,–,–,–,–,–,–,–
9,0,0,2,1,0,0,0,0,0,11,1,12
45,2,0,11,19,0,1,2,3,1,61,23,84
484,2,0,5,130,0,1,5,59,0,549,135,684
1 134,0,0,0,164,0,0,0,26,0,1 160,164,1 324
1 080,0,0,1,535,0,0,0,14,3,1 081,538,1 619
2 752,4,0,19,849,0,2,7,102,4,2 877,862,3 739
100,0,0,3,52,0,0,1,5,0,108,53,161
2 852,4,0,22,901,0,2,8,107,4,2 985,915,3 900
