"Percentage
of permanent
employees","Percentage
of
contractors","Percentage
of female
employees","Percentage
of male
employees","Percentage
of disabled
employees"
63.3,36.6,13.4,86.6,2.7
79.9,20.1,6.7,93.3,
65.7,34.2,12.8,87.2,
75.7,24.2,23.0,77.0,
43.1,56.8,10.5,89.5,
