"Medical treatment case frequency rate
(MTCFR) – a measure of all injuries that do
not require more than first-aid treatment
per million hours worked","Lost-time injury frequency rate (LTIFR)
– number of lost-time injuries (work-related
injuries resulting in an employee being
unable to attend work and perform their
assigned duties on the next calendar day
after their injury) per million hours worked","Fatal-injury frequency rate (FIFR) – a
measure of all recorded fatal injuries per
million hours worked"
"Reportable-injury frequency rate (RIFR)
– a measure of all injuries, including fatalities,
resulting in more than 14 days off work per
million hours worked. This is an indicator
that underlines the severity of an injury and
the post-accident care at the operations","Total-injury frequency rate (TIFR) – a
measure of all recordable injuries, including
fatalities, lost-time injuries and medical
treatment cases per million hours worked","Dangerous occurrence – incidents that
must be reported to the inspector of mines,
including, among other things, fall of
ground and caving incidents, fire, power
failures, failure of lifts and ventilation
systems"
"Days lost due to injury – the total number
of calendar days (not working days), from
the day following the injury to the day on
which the injured person is able to resume
full duties of his/her regular work","Process safety incidents – unplanned loss
of containment events with the potential for
severe consequences, including multiple
fatalities, widespread environmental impact
and/or significant property damage",
