"Principle 1
Businesses should support
and respect the protection
of international human
rights within their sphere of
influence.",,"Our commitment to human rights is described in our human rights policy which
commits us to fully comply with applicable legislation in the regions in which we
operate, as well as to implementing the human rights principles in the UNGC. Our
Harassment, Bullying and Victimisation Policy also ensures that every individual,
including all persons who have dealings with Implats, are treated with dignity and
respect.
Employees are trained on human rights as part of our compulsory induction
process. All our contractors are expected to abide by our human rights policy,
practices, standards and the laws of the countries in which we operate. An
independently managed channel is available to anonymously report any unfair
practices and violations of human rights.
We have an established responsible sourcing policy to ensure our suppliers of
PGM concentrate do not infringe on human rights at their operations. We continue
to align our security practices with the Voluntary Principles on Security and Human
Rights.",,"Further reading
on pages 36
to 39."
"Principle 2
Businesses should make
sure their own corporations
are not complicit in human
rights abuses.",,"We strive to uphold this principle through our Group-wide human rights policies and
code of ethics which are compatible with the applicable legislation in our operating
jurisdictions.",,"Further reading
on pages 36
to 39."
