2023,2022,2021,2020,2019
,,,,
9,11,2,2,2
–,–,–,–,–
12,24,3,1,3
11,11,18,23,7
–,–,–,–,–
32,46,23,26,12
,,,,
1 906,1 719,1 553,1 342,1 278
1 008,934,564,275,268
436,431,397,334,300
902,754,552,668,565
593,411,278,297,–
27,25,23,20,19
4 872,4 274,3 367,2 936,2 430
,,,,
1 004,931,960,759,805
464,429,533,228,226
84,87,181,148,157
366,423,290,352,285
500,379,285,312,–
26,25,23,20,19
2 444,2 274,2 272,1 819,1 492
