None,Initiatives advanced and spend in 2023,"Year-on-year
change in
residual risk
rating"
"Interruption to water supply
to operations and
surrounding communities","• Progressed construction activities for the installation of two water reservoirs
on-site with capacity to support operations for 24-48 hours. R56 million
spent in 2023 (2022: R58 million). A total of R125 million is planned over
the next five years on the project.
• R64 million (2022: R50 million) in ongoing spend to improve stormwater
recovery and storage for reuse",
Groundwater contamination,"• Monitor scavenging boreholes at tailings facilities for contamination
• Monitor and maintain tailings water piping",
"Deterioration of water supply
infrastructure","• We continue to engage with stakeholders at catchment level and lend our
expertise to local municipalities to fix infrastructure",
