None,Initiatives advanced and spend in 2023,"Year-on-year
change in
residual risk
rating"
"Interruption to water
supply to operations and
surrounding communities","• R41 million (2022: R41 million) invested in the Lebalelo project scheme to
supply water to the mine and surrounding communities and in projects to
reduce water losses by upgrading underground pipelines and shaft
compressor cooling towers",
"Uncontrolled release of
effluent due to severe
weather events (flooding)","Management has installed temporary additional water storage capacity on-site
and improved monitoring equipment at existing water storage dams.
Other initiatives include:
• Revision of the water reticulation and water balance for the operation
• Appointment of an independent consultant to audit the design and operation
of water dams
• Installation of real-time level monitoring",
