Topic,SASB code,Metric,Our response
"Energy
management",FB-AB-130a.1,"(1) Total energy consumed
(2) Percentage grid electricity
(3) Percentage renewable",
"Water
management",FB-AB-140a.1,"(1) Total water withdrawn
(2) Total water consumed, percentage of each in regions with High or Extremely High
Baseline Water Stress",
,FB-AB-140a.2,"Description of water management risks and discussion of strategies and practices to
mitigate those risks",
"Responsible
drinking and
marketing",FB-AB-270a.1,"Percentage of total advertising impressions made on individuals at or above the legal
drinking age",
,FB-AB-270a.2,"Number of incidents of non-compliance with industry or regulatory labelling and/or
marketing codes",
,FB-AB-270a.3,"Total amount of monetary losses as a result of legal proceedings associated with
marketing and/or labelling practices",
,FB-AB-270a.4,Description of efforts to promote responsible consumption of alcohol,
"Packaging
lifecycle
management",FB-AB-410a.1,"(1) Total weight of packaging
(2) Percentage made from recycled and/or renewable materials
(3) Percentage that is recyclable, reusable, and/or compostable",
,FB-AB-410a.2,"Discussion of strategies to reduce the environmental impact of packaging throughout
its lifecycle",
