Zimplats,None,2023,2022
Implats ownership (%),,87,87
Number of employees and contractors,,9 191,8 980
LTIFR,,0.350,0.31
FIFR,,0.100,0.05
Fatalities,,2,1
Diesel consumed (l),,20 682 692,19 448 805
Coal consumed (t),,4 591,5 340
Electricity consumed (MWh),,460 969,527 057
Carbon emissions footprint (scope 1 and 2) (kt),,390,416
Water used (Ml),,13 003,12 378.00
Local spend with indigenous community suppliers,,"US$73.22 million
(R1.3 billion)","US$55 million
(R837 million)"
Socio-economic development spend including donations,,"US$7.1
(R126 million)","US$3.4 million)
(R52 million)"
Housing and living conditions,,"US$4.9 million
(R88 million)","US$21.3 million
(R324 million)"
Sustainable development spend,,"US$12 million
(R215 million)","US$24.7 million
(R376 million)"
,,,
,,,
Afplats**,,2023,2022
Implats ownership (%),,74,74
Socio-economic development spend including donations,,R3 million,R3 million
,,,
