,,,Of which:,None
Male,Female,Total,Disabled,Disabled
,,Rm,male,female
7.3,5.7,13.0,0.3,0.0
12.1,13.4,25.5,0.1,0.1
1.2,2.2,3.4,0.0,0.0
1.6,1.8,3.4,–,–
22.2,23.1,45.3,0.4,0.2
