None,None,PROGRESS TO DATE,TARGETS,None,None,None
"STRENGTHEN THE MEANS OF IMPLEMENTATION
AND REVITALISE THE GLOBAL PARTNERSHIP
FOR SUSTAINABLE DEVELOPMENT",,,,,,
Target 17.5,"Invest in least developed countries:
Adopt and implement investment
promotion regimes for least developed
countries.","Tongaat Hulett operates in countries
deemed “least developed’ and/or
“emerging economies”. All investment
occurs within these countries.",No specific targets are in place.,,,
Target 17.7,"Promote sustainable technologies to
developing countries: Promote the
development, transfer, dissemination
and diffusion of environmentally sound
technologies to developing countries
on favourable terms, including on
concessional and preferential terms, as
mutually agreed.","All technological developments
identified for use within South Africa
are also shared with company
operations in both Mozambique
and Zimbabwe. However, additional
resources are often directed
towards the development of unique
technologies that would be of country-
specific impact in Mozambique and/or
Zimbabwe.","Aside from the equal sharing of all
technologies within the group.
No specific targets are in place.",,,
Target 17.16,"Enhance the global partnership
for sustainable development,
complemented by multi-stakeholder
partnerships that mobilize and share
knowledge, expertise, technology
and financial resources, to support
the achievement of the sustainable
development goals in all countries, in
particular developing countries.","Tongaat Hulett participates in a wide
variety of industry and/or national
forums to both learn from others
achieving unique successes in the field
of sustainable development (e.g. water
and/or energy efficiency improving
technologies and new agricultural
techniques).",No specific targets are in place.,,,
Target 17.17,"Encourage and promote effective
public, public-private and civil
society partnerships, building on the
experience and resourcing strategies of
partnerships.","Tongaat Hulett is explicitly committed
to private-public partnerships,
particularly in the fields of health and
disease management (e.g. malaria).","Although no specific targets are
in place, Tongaat Hulett remains
committed to working with a wide
array of private and/or public entities
for shared improvements in sustainable
development.",,,
