"Group wheeled
renewable
electricity
procurement
programme","Implats’ programme to procure 200MW wheeled renewable electricity for all South African operations — wheeling
is the process of moving privately generated electricity (own-generated or generated by independent power
producers) to customers across national utility-owned power grids – has progressed to the request for proposal
phase. Energy wheeling will address the limitations related to land availability at Marula, Impala Rustenburg and
Impala Refineries."
"Impala
Rustenburg","Impala Rustenburg has completed prefeasibility studies to implement 140MW of renewable energy projects. The
operation has also commissioned approximately 7kW of rooftop solar systems that have resulted in 238tCOe
2
emissions avoided.
Impala Rustenburg also realised energy savings of approximately 50 358 00kWh through its energy efficiency
programme, avoiding 66 000tCOe and saving the operation R74 million. These savings are verified by a third
2
party."
Zimplats,"In April 2023 Zimplats entered into a power purchase agreement with the Zambia Electricity Supply Corporation
Limited (ZESCO) for the supply of an additional 50MW of hydropower electricity. This brings the total renewable
electricity component for the operation to approximately 67%. The additional hydropower electricity led to
72 005tCOe avoided at Zimplats. Zimplats is also midway through the construction of a US$37 million solar plant
2
at its Selous Metallurgical Complex. The 35MW facility is the first phase of an intended 185MW complex that will
secure supply and reduce the unit cost of energy. The first phase will go live in the second quarter of 2024."
Marula,"Our Marula operation advanced its studies into a 30MW behind-the-meter renewable energy project to the
feasibility study phase."
